FID,LATDD,LONDD,AGE,RECON,ADT_029,STRUCTURE_KIND_043A,UNSAFE
31560733098431933,31.935369444444444,-98.72203611111111,62.0,0,429,1,0
31563222098440118,31.942283333333332,-98.73366111111112,15.0,0,429,3,0
31591922098490657,31.988672222222224,-98.81849166666666,7.0,0,463,5,0
32065059098362047,32.11405277777778,-98.60568611111111,56.0,1,723,3,0
32055262098445520,32.097950000000004,-98.74866666666667,66.0,0,430,1,0
32065582098351510,32.11550555555556,-98.58752777777778,56.0,1,723,1,0
32022044098413466,32.03901111111111,-98.69296111111112,77.0,0,172,1,0
32003707098412660,32.01029722222222,-98.69072222222222,34.0,0,172,1,0
31540756098242702,31.902099999999997,-98.40750555555556,72.0,0,365,1,0
31530652098211836,31.885144444444443,-98.3551,72.0,0,169,1,0
31530792098201144,31.88553333333333,-98.33651111111111,72.0,0,169,1,0
31523379098195663,31.87605277777778,-98.33239722222221,17.0,1,539,1,0
31520704098194051,31.86862222222222,-98.32791944444445,17.0,1,539,1,0
31513996098194996,31.8611,-98.33054444444444,18.0,0,539,5,0
31551103098244982,31.919730555555557,-98.41383888888889,11.0,0,310,5,0
31582297098261202,31.97304722222222,-98.43667222222223,10.0,0,349,5,0
31460775098312007,31.768819444444443,-98.52224166666666,70.0,0,179,1,0
31463908098305116,31.77752222222222,-98.51421111111111,70.0,0,104,1,0
31533612098243941,31.893366666666665,-98.41094722222223,65.0,0,425,1,0
31532801098244260,31.89111388888889,-98.41183333333333,65.0,0,425,4,0
31501100098260099,31.836388888888887,-98.43360833333334,4.0,0,444,5,0
32052725098272881,32.09090277777778,-98.45800277777778,25.0,1,417,1,0
31594410098273310,31.995583333333336,-98.45919444444445,59.0,0,880,3,1
32024571098460566,32.046030555555554,-98.76823888888889,69.0,0,100,1,0
32041187098463995,32.06996388888889,-98.77776388888888,7.0,0,463,5,0
31553652098190379,31.926811111111114,-98.31771944444444,65.0,0,497,1,0
31500737098202902,31.835380555555556,-98.34139444444445,69.0,0,287,1,0
31555817098165491,31.932825,-98.28191944444444,58.0,0,180,1,0
31562612098364333,31.94058888888889,-98.61203611111111,68.0,0,389,1,0
31585594098381856,31.982205555555552,-98.6384888888889,66.0,1,389,1,0
32012839098383197,32.02455277777778,-98.64221388888889,68.0,0,181,1,0
32025698098384605,32.04916111111111,-98.64612500000001,67.0,0,296,1,0
32093789098404067,32.160525,-98.6779638888889,66.0,0,321,1,0
32093287098403950,32.159130555555556,-98.6776388888889,66.0,0,321,1,0
32072356098403786,32.12321111111111,-98.67718333333333,66.0,0,321,1,0
31542763098325112,31.907674999999998,-98.54753333333333,31.0,0,372,1,0
32024465098395112,32.04573611111111,-98.66420000000001,67.0,0,143,1,0
31473527098254587,31.793130555555557,-98.42940833333334,53.0,0,297,5,0
31464103098234518,31.778063888888887,-98.39588333333334,53.0,0,109,1,0
31454820098291388,31.76338888888889,-98.4871888888889,63.0,0,100,1,0
31453967098290149,31.761019444444443,-98.48374722222222,63.0,0,100,1,0
31434703098250469,31.729730555555555,-98.41796944444445,63.0,0,100,1,0
32052573098352947,32.09048055555556,-98.59151944444444,33.0,1,167,1,0
32044729098361318,32.07980277777778,-98.60366111111111,25.0,0,167,1,0
31574328098332692,31.96202222222222,-98.55747777777778,60.0,0,704,3,0
32084921098332293,32.14700277777778,-98.55636944444444,54.0,0,287,1,0
32104344098340048,32.178733333333334,-98.5668,54.0,0,147,1,0
32112489098345010,32.19024722222222,-98.58058333333332,54.0,0,147,1,0
31501584098354433,31.837733333333333,-98.59564722222221,52.0,0,305,1,0
31492112098352581,31.822533333333332,-98.59050277777777,52.0,0,100,5,0
31571093098391317,31.95303611111111,-98.65365833333334,49.0,0,50,3,1
31563806098480225,31.943905555555556,-98.800625,9.0,0,50,5,0
31553125098471818,31.925347222222225,-98.78838333333333,35.0,1,50,3,0
31550422098465579,31.91783888888889,-98.78216388888889,33.0,1,50,4,1
31550286098461284,31.917461111111113,-98.77023333333334,24.0,0,100,1,0
31563459098445017,31.942941666666666,-98.74726944444444,16.0,0,50,5,0
31560395098452081,31.934430555555554,-98.75578055555556,3.0,0,60,5,0
31561610098441137,31.937805555555556,-98.73649166666667,34.0,0,110,3,0
31564939098415106,31.947052777777778,-98.69751666666667,9.0,0,50,5,0
31565388098420720,31.9483,-98.702,2.0,0,50,5,0
32052524098472362,32.09034444444445,-98.78989444444444,22.0,1,50,4,1
32033161098530258,32.05878055555555,-98.88405,14.0,0,10,3,1
31595292098455610,31.998033333333336,-98.76558333333334,20.0,0,50,1,0
32005017098480115,32.013936111111114,-98.80031944444444,21.0,0,50,1,0
31571742098421487,31.954838888888887,-98.70413055555557,16.0,0,50,5,0
32001077098495510,32.00299166666667,-98.83197222222222,12.0,0,50,5,0
32043338098482203,32.07593888888889,-98.80611944444445,12.0,0,50,5,0
32041623098430964,32.071175000000004,-98.71934444444445,27.0,0,100,1,0
32041472098400970,32.07075555555556,-98.66936111111112,21.0,0,50,1,0
32042882098423770,32.074672222222226,-98.71047222222222,31.0,0,100,1,0
32051984098424234,32.08884444444445,-98.71176111111112,30.0,0,50,4,0
31574954098385754,31.96376111111111,-98.64931666666668,38.0,0,50,4,0
31580038098403960,31.96677222222222,-98.67766666666667,12.0,0,50,5,0
32080470098405527,32.13463888888889,-98.68201944444445,8.0,0,60,1,0
32080564098402532,32.1349,-98.67370000000001,1.0,0,78,5,0
32001448098360015,32.004022222222225,-98.60004166666666,34.0,0,50,4,0
32011619098360541,32.021163888888886,-98.60150277777777,16.0,0,100,5,1
31572668098360072,31.95741111111111,-98.6002,3.0,0,70,5,0
32101786098373936,32.17162777777777,-98.62759999999999,23.0,0,50,1,0
32035836098350054,32.06621111111111,-98.58348333333333,8.0,0,16,5,0
32032738098334675,32.057605555555554,-98.5629861111111,22.0,0,50,1,1
32053942098320068,32.09428333333334,-98.53352222222222,104.0,0,100,1,0
32043238098305206,32.07566111111112,-98.51446111111112,34.0,0,50,3,0
31452700098354294,31.7575,-98.5952611111111,22.0,0,50,1,0
31451467098335487,31.754075,-98.56524166666667,14.0,0,50,5,0
31453168098334824,31.7588,-98.5634,54.0,0,50,1,1
31471934098333972,31.788705555555556,-98.56103333333333,21.0,0,50,1,0
31483560098333978,31.80988888888889,-98.56105,16.0,0,50,5,0
32031034098291726,32.05287222222222,-98.48812777777778,27.0,0,50,4,0
32101762098345759,32.17156111111111,-98.58266388888889,18.0,0,50,1,0
32102647098345404,32.17401944444444,-98.58167777777777,14.0,0,50,1,0
32111903098340056,32.18861944444444,-98.56682222222221,21.0,0,100,1,0
32120396098334881,32.201100000000004,-98.56355833333333,18.0,0,50,1,0
32122198098334301,32.20610555555556,-98.56194722222222,31.0,0,50,4,0
32130538098333758,32.218161111111115,-98.56043888888888,3.0,0,50,5,0
32123888098333384,32.210800000000006,-98.5594,2.0,0,50,1,0
32135112098325590,32.23086666666667,-98.54886111111111,9.0,0,50,1,0
32105159098304074,32.18099722222222,-98.51131666666667,34.0,0,50,4,0
32091895098305739,32.15526388888889,-98.51594166666666,20.0,0,50,1,0
32091180098310180,32.153277777777774,-98.51716666666667,35.0,0,100,4,1
32082922098301436,32.14145,-98.50398888888888,12.0,0,60,5,0
32084570098294972,32.146027777777775,-98.49714444444444,59.0,0,60,4,0
31585977098253308,31.983269444444442,-98.42585555555556,23.0,0,100,1,0
32011723098264766,32.021452777777775,-98.44657222222223,29.0,0,100,3,1
31564058098281540,31.944605555555555,-98.47094444444444,20.0,0,50,1,0
31562120098291928,31.939222222222224,-98.48868888888889,24.0,0,160,1,0
31561098098293761,31.936383333333335,-98.49378055555556,23.0,0,150,1,0
31554855098272597,31.930152777777778,-98.45721388888889,34.0,0,50,1,1
31524555098273428,31.879319444444445,-98.45952222222222,18.0,0,100,5,0
31540492098301078,31.901366666666664,-98.50299444444444,24.0,0,100,1,0
31531124098261586,31.886455555555553,-98.43773888888889,24.0,0,120,1,0
31532551098282354,31.890419444444444,-98.47320555555555,6.0,0,110,5,0
31540479098320420,31.901330555555553,-98.5345,35.0,0,100,3,1
31573083098270920,31.95856388888889,-98.45255555555556,36.0,0,50,3,0
31522984098293411,31.874955555555555,-98.49280833333333,16.0,0,50,1,0
31522200098293840,31.872777777777777,-98.494,12.0,0,50,1,0
31521304098272910,31.87028888888889,-98.45808333333333,12.0,0,50,5,0
31505995098244590,31.84998611111111,-98.41275,36.0,0,100,3,1
31501716098224727,31.838099999999997,-98.37979722222221,42.0,0,80,1,1
31515051098212413,31.86403055555556,-98.35670277777777,24.0,0,110,1,0
31514422098234394,31.862283333333334,-98.3955388888889,22.0,0,200,1,0
31494440098243024,31.829,-98.4084,36.0,0,100,4,1
31493936098242988,31.8276,-98.40830000000001,31.0,0,100,1,1
31484066098242632,31.811294444444446,-98.40731111111111,10.0,0,50,5,0
31475497098254816,31.79860277777778,-98.43004444444445,18.0,0,100,5,0
31523305098182121,31.875847222222223,-98.30589166666667,6.0,0,50,5,0
31543005098154034,31.908347222222222,-98.26120555555555,102.0,0,50,3,1
31531615098143275,31.887819444444442,-98.24243055555556,24.0,0,50,1,0
31562770098353418,31.941027777777776,-98.59282777777777,8.0,0,50,1,0
31481961098133996,31.805447222222224,-98.22776666666667,10.0,0,50,5,0
31504465098135681,31.84573611111111,-98.23244722222222,88.0,0,50,3,1
31512520098130852,31.857000000000003,-98.21903333333333,10.0,0,50,5,0
31484606098132487,31.812794444444446,-98.223575,18.0,0,50,1,0
31491780098122907,31.82161111111111,-98.20807500000001,10.0,0,170,5,0
31494383098151219,31.828841666666666,-98.25338611111111,36.0,1,60,3,1
31494593098152656,31.829425,-98.25737777777778,29.0,1,170,3,0
31502180098200096,31.839388888888887,-98.33359999999999,21.0,0,50,1,0
31500061098285129,31.833502777777777,-98.48091388888889,20.0,0,70,1,0
